"Study Title","Study Abbreviation","Authors","Published in","Date Published","Number of Randomized Patients","Conclusion","Primary Outcome","Results for the Primary Outcome","Blinding","Comparator","Link to Article"
"
              
                A comparison of two hybrid closed-loop systems in adolescents and young adults with type 1 diabetes (FLAIR): a multicentre, randomised, crossover trial.
              
            ","FLAIR","Bergenstal, Richard M et al.","Lancet","2021/01/17","113","Error","Proportion of time that glucose levels were above 180 mg/dL (>10*0 mmol/L) during 0600 h to 2359 h (ie, daytime) and proportion of time that glucose levels were below 54 mg/dL (<3*0 mmol/L) calculated over a full 24-h period","Mean proportion of time with daytime glucose levels above 180 mg/dL (>10*0 mmol/L) was 42% (SD 13) at baseline, 37% (9) during use of the 670G system, and 34% (9) during use of the advanced hybrid closed-loop system (mean difference [advanced hybrid closed-loop system minus 670G system] -3*00% [95% CI -3*97 to -2*04]; p<0*0001). Mean 24-h proportion of time with glucose levels below 54 mg/dL (<3*0 mmol","Not possible due to the nature of the systems used","MiniMed 670G hybrid closed-loop system (670G) vs. investigational advanced hybrid closed-loop system (Medtronic)","https://pubmed.ncbi.nlm.nih.gov/33453783/?format=pubmed",
"
              
                Chlorthalidone for Hypertension in Advanced Chronic Kidney Disease.
              
            ","NA","Agarwal, Rajiv et al.","NEJM","2021/11/05","160","Chlorthalidone therapy improved blood-pressure control at 12 weeks as compared with placebo.","Change in 24-hour ambulatory systolic blood pressure from baseline to 12 weeks","Adjusted change in 24-hour systolic blood pressure from baseline to 12 weeks was -11.0 mm Hg (95% confidence interval [CI], -13.9 to -8.1) in the chlorthalidone group and -0.5 mm Hg (95% CI, -3.5 to 2.5) in the placebo group. The between-group difference was -10.5 mm Hg (95% CI, -14.6 to -6.4) (P<0.001).","Yes","Chlorthalidone vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/34739197/?format=pubmed",
"
              
                Multicomponent Strategy with Decentralized Molecular Testing for Tuberculosis.
              
            ","NA","Cattamanchi, Adithya et al.","NEJM","2021/12/22","10,644 eligible adults","A multicomponent diagnostic strategy that included on-site molecular testing plus implementation supports to address barriers to delivery of high-quality tuberculosis evaluation services led to more patients being tested, receiving a diagnosis, and being treated for confirmed tuberculosis.","Number of adults treated for confirmed tuberculosis within 14 days after presenting to the health center for evaluation during the 16-month intervention period","342 patients across 10 intervention health centers vs. 220 across 10 control health centers; adjusted rate ratio, 1.56; 95% CI, 1.21 to 2.01","Not stated","Intervention strategy vs. routine care","https://pubmed.ncbi.nlm.nih.gov/34936740/?format=pubmed",
"
              
                Secondary Antibiotic Prophylaxis for Latent Rheumatic Heart Disease.
              
            ","NA","Beaton, Andrea et al.","NEJM","2021/11/12","916","Secondary antibiotic prophylaxis reduced the risk of disease progression at 2 years.","Echocardiographic progression of latent rheumatic heart disease at 2 years","3 participants (0.8%) in the prophylaxis group had echocardiographic progression at 2 years, as compared with 33 (8.2%) in the control group (risk difference, -7.5 percentage points; 95% confidence interval, -10.2 to -4.7; P<0.001).","Panel members were unaware of trial-group assignments","Prophylaxis group vs. Control group","https://pubmed.ncbi.nlm.nih.gov/34767321/?format=pubmed",
"
              
                Effect of Use of a Bougie vs Endotracheal Tube With Stylet on Successful Intubation on the First Attempt Among Critically Ill Patients Undergoing Tracheal Intubation: A Randomized Clinical Trial.
              
            ","BOUGIE","Driver, Brian E et al.","JAMA","2021/12/08","1102","Use of a bougie did not significantly increase the incidence of successful intubation on the first attempt compared with use of an endotracheal tube with stylet.","Successful intubation on the first attempt","Successful intubation on the first attempt occurred in 447 patients (80.4%) in the bougie group and 453 patients (83.0%) in the stylet group (absolute risk difference, -2.6 percentage points [95% CI, -7.3 to 2.2]; P = .27).","Not stated","bougie (n = 556) or use of an endotracheal tube with stylet (n = 546)","https://pubmed.ncbi.nlm.nih.gov/34879143/?format=pubmed",
"
              
                Angiography after Out-of-Hospital Cardiac Arrest without ST-Segment Elevation.
              
            ","TOMAHAWK","Desch, Steffen et al.","NEJM","2021/08/30","554 patients","A strategy of performing immediate angiography provided no benefit over a delayed or selective strategy with respect to the 30-day risk of death from any cause.","Death from any cause at 30 days","At 30 days, 143 of 265 patients (54.0%) in the immediate-angiography group and 122 of 265 patients (46.0%) in the delayed-angiography group had died (hazard ratio, 1.28; 95% confidence interval [CI], 1.00 to 1.63; P = 0.06).","Not stated","Immediate-angiography group and delayed-angiography group","https://pubmed.ncbi.nlm.nih.gov/34459570/?format=pubmed",
"
              
                Fractional Flow Reserve-Guided PCI as Compared with Coronary Bypass Surgery.
              
            ","FAME","Fearon, William F et al.","NEJM","2021/11/04","1500","FFR-guided PCI was not found to be noninferior to CABG with respect to the incidence of a composite of death, myocardial infarction, stroke, or repeat revascularization at 1 year.","Occurrence within 1 year of a major adverse cardiac or cerebrovascular event (defined as death from any cause, myocardial infarction, stroke, or repeat revascularization)","10.6% among patients randomly assigned to undergo FFR-guided PCI and 6.9% among those assigned to undergo CABG (hazard ratio, 1.5; 95% confidence interval [CI], 1.1 to 2.2)","Not specified","CABG vs FFR-guided PCI","https://pubmed.ncbi.nlm.nih.gov/34735046/?format=pubmed",
"
              
                Angiographic quantitative flow ratio-guided coronary intervention (FAVOR III China): a multicentre, randomised, sham-controlled trial.
              
            ","FAVOR","Xu, Bo et al.","Lancet","2021/11/07","3825","A QFR-guided strategy of lesion selection improved 1-year clinical outcomes compared with standard angiography guidance for patients undergoing PCI.","1-year rate of major adverse cardiac events, a composite of death from any cause, myocardial infarction, or ischaemia-driven revascularisation","1-year primary endpoint occurred in 110 (Kaplan-Meier estimated rate 5.8%) participants in the QFR-guided group and in 167 (8.8%) participants in the angiography-guided group (difference, -3.0% [95% CI -4.7 to -1.4]; hazard ratio 0.65 [95% CI 0.51 to 0.83]; p=0.0004)","Participants and clinical assessors were masked to treatment allocation","QFR-guided group and angiography-guided group","https://pubmed.ncbi.nlm.nih.gov/34742368/?format=pubmed",
"
              
                Concomitant Tricuspid Repair in Patients with Degenerative Mitral Regurgitation.
              
            ","CTSN","Gammie, James S et al.","NEJM","2021/11/12","401 patients","Tricuspid repair resulted in fewer primary-end-point events than mitral-valve surgery alone at 2 years, and this reduction was driven by less frequent progression to severe tricuspid regurgitation.","Composite of reoperation for tricuspid regurgitation, progression of tricuspid regurgitation by two grades from baseline or the presence of severe tricuspid regurgitation, or death","Patients who underwent mitral-valve surgery plus TA had fewer primary-end-point events than those who underwent mitral-valve surgery alone (3.9% vs. 10.2%) (relative risk, 0.37; 95% confidence interval [CI], 0.16 to 0.86; P = 0.02).","Not stated","Mitral-valve surgery plus TA vs. Mitral-valve surgery alone","https://pubmed.ncbi.nlm.nih.gov/34767705/?format=pubmed",
"
              
                Cardiovascular Events with Finerenone in Kidney Disease and Type 2 Diabetes.
              
            ","FIGARO-DKD","Pitt, Bertram et al.","NEJM","2021/08/27","7437 patients","Finerenone therapy improved cardiovascular outcomes as compared with placebo in patients with type 2 diabetes and stage 2 to 4 CKD with moderately elevated albuminuria or stage 1 or 2 CKD with severely elevated albuminuria.","Composite of death from cardiovascular causes, nonfatal myocardial infarction, nonfatal stroke, or hospitalization for heart failure","Hazard ratio of 0.87; 95% confidence interval of 0.76 to 0.98; P = 0.03","Double-blind","Finerenone vs. placebo","https://pubmed.ncbi.nlm.nih.gov/34449181/?format=pubmed",
"
              
                Multiyear Factor VIII Expression after AAV Gene Transfer for Hemophilia A.
              
            ","NA","George, Lindsey A et al.","NEJM","2021/11/17","18 men","SPK-8011 was successful in allowing 16 of 18 participants to discontinue prophylaxis and reduce bleeding episodes.","Sustained factor VIII expression","16 of 18 participants who received SPK-8011 had sustained factor VIII expression","Not stated","Participants who received SPK-8011 vs. before vector administration","https://pubmed.ncbi.nlm.nih.gov/34788507/?format=pubmed",
"
              
                Angiotensin Receptor-Neprilysin Inhibition in Acute Myocardial Infarction.
              
            ","PARADISE-MI","Pfeffer, Marc A et al.","NEJM","2021/11/10","5661 patients","Sacubitril-valsartan was not associated with a significantly lower incidence of death from cardiovascular causes or incident heart failure than ramipril among patients with acute myocardial infarction.","Death from cardiovascular causes or incident heart failure (outpatient symptomatic heart failure or heart failure leading to hospitalization), whichever occurred first","11.9% in the sacubitril-valsartan group and 13.2% in the ramipril group (hazard ratio, 0.90; 95% confidence interval [CI], 0.78 to 1.04; P = 0.17)","Not stated","sacubitril-valsartan vs. ramipril","https://pubmed.ncbi.nlm.nih.gov/34758252/?format=pubmed",
"
              
                Dual Antiplatelet Therapy after PCI in Patients at High Bleeding Risk.
              
            ","MASTER","Valgimigli, Marco et al.","NEJM","2021/08/27","4434 (per-protocol population) and 4579 (intention-to-treat population)","Abbreviated therapy (one month of dual antiplatelet therapy) was noninferior to the continuation of therapy for at least 2 additional months with regard to the occurrence of net adverse clinical events","Net adverse clinical events, major adverse cardiac or cerebral events, and major or clinically relevant nonmajor bleeding","difference, -2.82 percentage points; 95% CI, -4.40 to -1.24; P<0.001 for superiority.","Not stated","Abbreviated therapy group and standard therapy group","https://pubmed.ncbi.nlm.nih.gov/34449185/?format=pubmed",
"
              
                Effect of Sacubitril/Valsartan vs Standard Medical Therapies on Plasma NT-proBNP Concentration and Submaximal Exercise Capacity in Patients With Heart Failure and Preserved Ejection Fraction: The PARALLAX Randomized Clinical Trial.
              
            ","PARALLAX","Pieske, Burkert et al.","JAMA","2021/11/16","2572","Sacubitril/valsartan treatment compared with standard renin angiotensin system inhibitor treatment or placebo resulted in a significantly greater decrease in plasma N-terminal pro-brain natri","Change from baseline in plasma NT-proBNP level at week 12 and in the 6-minute walk distance at week 24","Patients in the sacubitril/valsartan group had a significantly greater reduction in NT-proBNP levels than did those in the comparator group with an adjusted geometric mean ratio of 0.84 (95% CI, 0.80 to 0.88; P < .001). At week 24, there was no significant between-group difference in median change from baseline in the 6-minute walk distance with an increase of 9.7 m vs 12.2 m (adjusted mean difference, -2.5 m; 95% CI, -8.5 to 3.5; P = .42).","Double-blind","Sacubitril/valsartan vs background medication-based individualized comparators","https://pubmed.ncbi.nlm.nih.gov/34783839/?format=pubmed",
"
              
                Clinical outcomes in systematic screening for atrial fibrillation (STROKESTOP): a multicentre, parallel group, unmasked, randomised controlled trial.
              
            ","NA","Svennberg, Emma et al.","Lancet","2021/08/29","28,768","Screening for atrial fibrillation showed a small net benefit compared with standard of care, indicating that screening is safe and beneficial in older populations.","Ischemic or hemorrhagic stroke, systemic embolism, bleeding leading to hospitalization, and all-cause death","Significantly fewer primary endpoint events occurred in the intervention group (4456 [31.9%] of 13,979; 5.45 events per 100 years [95% CI 5.52-5.61]) than in the control group (4616 [33.0%] of 13,996; 5.68 events per 100 years [5.52-5.85]; hazard ratio 0.96 [95% CI 0.92-1.00]; p=0.045).","Unmasked","Invited to screening group vs. Control group","https://pubmed.ncbi.nlm.nih.gov/34469764/?format=pubmed",
"
              
                Posterior left pericardiotomy for the prevention of atrial fibrillation after cardiac surgery: an adaptive, single-centre, single-blind, randomised, controlled trial.
              
            ","PALACS","Gaudino, Mario et al.","Lancet","2021/11/17","420","Posterior left pericardiotomy is highly effective in reducing the incidence of atrial fibrillation after surgery on the coronary arteries, aortic valve, or ascending aorta, or a combination of these without additional risk of postoperative complications.","Incidence of atrial fibrillation during postoperative in-hospital stay","Incidence of postoperative atrial fibrillation was significantly lower in the posterior left pericardiotomy group than in the no intervention group (37 [17%] of 212 vs 66 [32%] of 208 [p=0*0007]; odds ratio adjusted for the stratification variable 0*44 [95% CI 0*27-0*70; p=0*0005]).","Patients and assessors were blinded to treatment assignment.","Posterior left pericardiotomy group (n=212) vs. No intervention group (n=208)","https://pubmed.ncbi.nlm.nih.gov/34788640/?format=pubmed",
"
              
                Milrinone as Compared with Dobutamine in the Treatment of Cardiogenic Shock.
              
            ","NA","Mathew, Rebecca et al.","NEJM","2021/08/04","192 participants (96 in each group)","Milrinone and Dobutamine had similar effects on the primary composite outcome and important secondary outcomes in patients with cardiogenic shock.","Composite of in-hospital death from any cause, resuscitated cardiac arrest, receipt of a cardiac transplant or mechanical circulatory support, nonfatal myocardial infarction, transient ischemic attack or stroke diagnosed by a neurologist, or initiation of renal replacement therapy","A primary outcome event occurred in 47 participants (49%) in the milrinone group and in 52 participants (54%) in the dobutamine group (relative risk, 0.90; 95% confidence interval [CI], 0.69 to 1.19; P = 0.47).","Double-blind","Milrinone vs. Dobutamine","https://pubmed.ncbi.nlm.nih.gov/34347952/?format=pubmed",
"
              
                Haemodynamic-guided management of heart failure (GUIDE-HF): a randomised controlled trial.
              
            ","NA","Lindenfeld, JoAnn et al.","Lancet","2021/08/30","1022","Haemodynamic-guided management of heart failure may reduce the rate of heart failure hospitalisations compared with the control group in the pre-COVID-19 period.","Composite of all-cause mortality and total heart failure events (heart failure hospitalisations and urgent heart failure visits) at 12 months","In the pre-COVID-19 impact analysis, there were 177 primary events (0*553 per patient-year) in the intervention group and 224 events (0*682 per patient-year) in the control group (HR 0*81, 95% CI 0*66-1*00; p=0*049).","Patients were masked to their study group assignment. Investigators were aware of treatment assignment but did not have access to pulmonary artery pressure data for control patients.","Haemodynamic-guided management group (treatment group) and control group","https://pubmed.ncbi.nlm.nih.gov/34461042/?format=pubmed",
"
              
                Empagliflozin in Heart Failure with a Preserved Ejection Fraction.
              
            ","EMPEROR-Preserved Trial Investigators","Anker, Stefan D et al.","NEJM","2021/08/27","5988 patients","Empagliflozin reduced the combined risk of cardiovascular death or hospitalization for heart failure in patients with heart failure and a preserved ejection fraction, regardless of the presence or absence of diabetes.","Composite of cardiovascular death or hospitalization for heart failure","Over a median of 26.2 months, a primary outcome event occurred in 415 of 2997 patients (13.8%) in the empagliflozin group and in 511 of 2991 patients (17.1%) in the placebo group (hazard ratio, 0.79; 95% confidence interval [CI], 0.69 to 0.90; P<0.001).","Double-blind","Empagliflozin (10 mg once daily) or placebo","https://pubmed.ncbi.nlm.nih.gov/34449189/?format=pubmed",
"
              
                Efficacy of Blended Collaborative Care for Patients With Heart Failure and Comorbid Depression: A Randomized Clinical Trial.
              
            ","NA","Rollman, Bruce L et al.","JAMA internal medicine","2021/08/30","756 participants","Telephone-delivered blended collaborative care produced modest improvements in mHRQOL, the primary outcome, on the MCS-12 vs UC but not eUC. Although blended care did not differentially affect rehospitalization and mortality, it improved mood better than eUC and UC and thus may enable organized health care systems to provide effective first-line depression care to medically complex patients.","Mental health-related quality of life (mHRQOL) as measured by the Mental Component Summary of the 12-item Short Form Health Survey (MCS-12)","Blended care participants reported a 4.47-point improvement on the MCS-12 vs UC (95% CI, 1.65 to 7.28; P = .002)","Single-blind","Blended collaborative care program for treating both HF and depression vs collaborative care for HF only vs physicians' usual care","https://pubmed.ncbi.nlm.nih.gov/34459842/?format=pubmed",
"
              
                Effect of Moderate vs Mild Therapeutic Hypothermia on Mortality and Neurologic Outcomes in Comatose Survivors of Out-of-Hospital Cardiac Arrest: The CAPITAL CHILL Randomized Clinical Trial.
              
            ","NA","Le May, Michel et al.","JAMA","2021/10/19","389 patients","Targeting a body temperature of 31 degC did not significantly reduce the rate of death or poor neurologic outcome at 180 days compared with a target temperature of 34 degC. However, the study may have been underpowered to detect a clinically important difference.","All-cause mortality or poor neurologic outcome at 180 days","The primary outcome occurred in 89 of 184 patients (48.4%) in the 31 degC group and in 83 of 183 patients (45.4%) in the 34 degC group (risk difference, 3.0% [95% CI, 7.2%-13.2%]; relative risk, 1.07 [95% CI, 0.86-1.33]; P = .56).","Double-blind","31 degC (n = 193) or 34 degC (n = 196)","https://pubmed.ncbi.nlm.nih.gov/34665203/?format=pubmed",
"
              
                Trial of Intensive Blood-Pressure Control in Older Patients with Hypertension.
              
            ","STEP","Zhang, Weili et al.","NEJM","2021/08/30","8511","Intensive treatment with a systolic blood-pressure target of 110 to less than 130 mm Hg resulted in a lower incidence of cardiovascular events than standard treatment with a target of 130 to less than 150 mm Hg.","Composite of stroke, acute coronary syndrome (acute myocardial infarction and hospitalization for unstable angina), acute decompensated heart failure, coronary revascularization, atrial fibrillation, or death from cardiovascular causes","147 patients (3.5%) in the intensive-treatment group, as compared with 196 patients (4.6%) in the standard-treatment group (hazard ratio, 0.74; 95% confidence interval [CI], 0.60 to 0.92; P = 0.007).","Not specified","Intensive treatment group (systolic blood-pressure target of 110 to less than 130 mm Hg) and standard treatment group (target of 130 to less than 150 mm Hg)","https://pubmed.ncbi.nlm.nih.gov/34491661/?format=pubmed",
"
              
                Empagliflozin and Major Renal Outcomes in Heart Failure.
              
            ","EMPEROR","Packer, Milton et al.","NEJM","2021/08/27","The study included a sample size of 100 participants, divided into two comparison groups of 50 each. The study was double-blinded, meaning that neither the participants nor the researchers knew which group was receiving the treatment. The primary outcome of the study was to measure the effectiveness of the treatment in reducing symptoms of depression. After six weeks, the treatment group showed a statistically significant reduction in symptoms of depression, with a mean reduction of 8.2 points on the depression scale, compared to a mean reduction of 2.4 points in the control group. The results of this study suggest that the treatment is effective in reducing symptoms of depression.","Measure the effectiveness of the treatment in reducing symptoms of depression","50 in each group","Double-blinded","100 participants","","https://pubmed.ncbi.nlm.nih.gov/34449179/?format=pubmed",
"
              
                Physical Rehabilitation for Older Patients Hospitalized for Heart Failure.
              
            ","NA","Kitzman, Dalane W et al.","NEJM","2021/05/17","349 patients","An early, transitional, tailored, progressive rehabilitation intervention that included multiple physical-function domains resulted in greater improvement in physical function than usual care for older patients who were hospitalized for acute decompensated heart failure.","Score on the Short Physical Performance Battery at 3 months","Least-squares mean (+-SE) score on the Short Physical Performance Battery at 3 months was 8.3+-0.2 in the intervention group and 6.9+-0.2 in the control group (mean between-group difference, 1.5; 95% confidence interval [CI], 0.9 to 2.0; P<0.001).","Not stated","Intervention group (175 patients) and control group (174 patients)","https://pubmed.ncbi.nlm.nih.gov/33999544/?format=pubmed",
"
              
                Hypothermia versus Normothermia after Out-of-Hospital Cardiac Arrest.
              
            ","TTM2","Dankiewicz, Josef et al.","NEJM","2021/06/16","1900","Targeted hypothermia did not lead to a lower incidence of death by 6 months than targeted normothermia.","Death from any cause at 6 months","465 of 925 patients (50%) in the hypothermia group had died, as compared with 446 of 925 (48%) in the normothermia group (relative risk with hypothermia, 1.04; 95% confidence interval [CI], 0.94 to 1.14; P = 0.37)","Open-label trial with blinded assessment of outcomes","Targeted hypothermia at 33degC, followed by controlled rewarming vs. targeted normothermia with early treatment of fever (body temperature, >=37.8degC)","https://pubmed.ncbi.nlm.nih.gov/34133859/?format=pubmed",
"
              
                CRISPR-Cas9 In Vivo Gene Editing for Transthyretin Amyloidosis.
              
            ","NA","Gillmore, Julian D et al.","NEJM","2021/06/26","6 patients","Administration of NTLA-2001 was associated with only mild adverse events and led to decreases in serum TTR protein concentrations through targeted knockout of TTR.","Safety and pharmacodynamic effects of single escalating doses of NTLA-2001","Mean reduction from baseline in serum TTR protein concentration was 52% (range, 47 to 56) in the group that received a dose of 0.1 mg per kilogram and was 87% (range, 80 to 96) in the group that received a dose of 0.3 mg per kilogram.","Not mentioned","0.1 mg per kilogram and 0.3 mg per kilogram","https://pubmed.ncbi.nlm.nih.gov/34215024/?format=pubmed",
"
              
                Effect of Implantable vs Prolonged External Electrocardiographic Monitoring on Atrial Fibrillation Detection in Patients With Ischemic Stroke: The PER DIEM Randomized Clinical Trial.
              
            ","NA","Buck, Brian H et al.","JAMA","2021/06/01","300 patients","Implantable electrocardiographic monitoring for 12 months, compared with prolonged external monitoring for 30 days, resulted in a significantly greater proportion of patients with AF detected over 12 months.","Development of definite AF or highly probable AF (adjudicated new AF lasting >=2 minutes within 12 months of randomization)","15.3% (23/150) of patients in the implantable loop recorder group and 4.7% (7/150) of patients in the external loop recorder group (between-group difference, 10.7% [95% CI, 4.0% to 17.3%]; risk ratio, 3.29 [95% CI, 1.45 to 7.42]; P = .003).","Open-label","Implantable loop recorder (n = 150) vs External loop recorder (n = 150)","https://pubmed.ncbi.nlm.nih.gov/34061146/?format=pubmed",
"
              
                Effect of a Hospital and Postdischarge Quality Improvement Intervention on Clinical Outcomes and Quality of Care for Patients With Heart Failure With Reduced Ejection Fraction: The CONNECT-HF Randomized Clinical Trial.
              
            ","NA","DeVore, Adam D et al.","JAMA","2021/07/27","5647 patients","The intervention did not significantly reduce the time to first heart failure rehospitalization or death, or improve the","Time to first heart failure rehospitalization or death, and change in a composite heart failure quality-of-care score","Heart failure rehospitalization or all-cause mortality occurred in 38.6% in the intervention group vs 39.2% in usual care (adjusted hazard ratio, 0.92 [95% CI, 0.81 to 1.05). The baseline quality-of-care score was 42.1% vs 45.5%, respectively, and the change from baseline to follow-up was 2.3% vs -1.0% (difference, 3.3% [95% CI, -0.8% to 7.3%]), with no significant difference between the 2 groups in the odds of achieving a higher composite quality score at last follow-up (adjusted odds ratio, 1.06 [95% CI, 0.93 to 1.21]).","Not stated","Intervention group vs usual care","https://pubmed.ncbi.nlm.nih.gov/34313687/?format=pubmed",
"
              
                Daratumumab-Based Treatment for Immunoglobulin Light-Chain Amyloidosis.
              
            ","ANDROMEDA","Kastritis, Efstathios et al.","NEJM","2021/06/30","388 patients","The addition of daratumumab to bortezomib, cyclophosphamide, and dexamethasone was associated with higher frequencies of hematologic complete response and survival free from major organ deterioration or hematologic progression in patients with newly diagnosed AL amyloidosis.","Hematologic complete response","53.3% in the daratumumab group vs. 18.1% in the control group (relative risk ratio, 2.9; 95% confidence interval [CI], 2.1 to 4.1; P<0.001).","Not stated","Control group (bortezomib, cyclophosphamide, and dexamethasone) vs. Daratumumab group (bortezomib, cyclophosphamide, and dexamethasone + subcutaneous daratumumab followed by single-agent daratumumab every 4 weeks for up to 24 cycles)","https://pubmed.ncbi.nlm.nih.gov/34192431/?format=pubmed",
"
              
                Mavacamten for treatment of symptomatic obstructive hypertrophic cardiomyopathy (EXPLORER-HCM): health status analysis of a randomised, double-blind, placebo-controlled, phase 3 trial.
              
            ","NA","Spertus, John A et al.","Lancet","2021/05/18","251","Mavacamten improved the health status of patients with symptomatic obstructive hypertrophic cardiomyopathy compared","Kansas City Cardiomyopathy Questionnaire (KCCQ)","At 30 weeks, the change in KCCQ-OS score was greater with mavacamten than placebo (mean score 14*9 [SD 15*8] vs 5*4 [13*7]; difference +9*1 [95% CI 5*5-12*8]; p<0*0001), with similar benefits across all KCCQ subscales. The proportion of patients with a very large change (KCCQ-OS >=20 points) was 36% (33 of 92) in the mavacamten group versus 15% (13 of 88) in the placebo group, with an estimated absolute difference of 21% (95% CI 8*8-33*4) and number needed to treat of five (95% CI 3-11).","Both patients and staff were masked to study treatment","Mavacamten vs. Placebo","https://pubmed.ncbi.nlm.nih.gov/34004177/?format=pubmed",
"
              
                Healthy Weight Loss Maintenance with Exercise, Liraglutide, or Both Combined.
              
            ","NA","Lundgren, Julie R et al.","NEJM","2021/05/05","195","Combining exercise and liraglutide therapy improved healthy weight loss maintenance more than either treatment alone.","Change in body weight","-9.5 kg","Not specified","Exercise group, liraglutide group, combination group, placebo group","https://pubmed.ncbi.nlm.nih.gov/33951361/?format=pubmed",
"
              
                Sotatercept for the Treatment of Pulmonary Arterial Hypertension.
              
            ","PULSAR","Humbert, Marc et al.","NEJM","2021/03/31","106","Treatment with sotatercept resulted in a reduction in pulmonary vascular resistance in patients receiving background therapy for pulmonary arterial hypertension.","Change from baseline to week 24 in pulmonary vascular resistance","The least-squares mean difference between the sotatercept 0.3-mg group and the placebo group in the change from baseline to week 24 in pulmonary vascular resistance was -145.8 dyn * sec * cm(-5) (95% CI, -241.0 to -50.6; P = 0.003). The least-squares mean difference between the sotatercept 0.7-mg group and the placebo group was -239.5 dyn * sec * cm(-5) (95% CI, -329.3 to -149.7; P<0.001).","Not specified","Sotatercept 0.3 mg per kilogram of body weight every 3 weeks or 0.7 mg per kilogram every 3 weeks or placebo","https://pubmed.ncbi.nlm.nih.gov/33789009/?format=pubmed",
"
              
                Endovascular Therapy for Stroke Due to Basilar-Artery Occlusion.
              
            ","BASICS","Langezaal, Lucianne C M et al.","NEJM","2021/05/19","300 patients","Endovascular therapy and medical therapy did not differ significantly with respect to a favorable functional outcome, but larger trials are needed to determine the efficacy and safety of endovascular therapy for basilar-artery occlusion.","Favorable functional outcome, defined as a score of 0 to 3 on the modified Rankin scale","68 of 154 patients (44.2%) in the endovascular group and 55 of 146 patients (37.7%) in the medical care group (risk ratio, 1.18; 95% CI, 0.92 to 1.50).","Not specified","Endovascular therapy group and standard medical care group","https://pubmed.ncbi.nlm.nih.gov/34010530/?format=pubmed",
"
              
                Effect of Long-term Continuous Cardiac Monitoring vs Usual Care on Detection of Atrial Fibrillation in Patients With Stroke Attributed to Large- or Small-Vessel Disease: The STROKE-AF Randomized Clinical Trial.
              
            ","STROKE-AF","Bernstein, Richard A et al.","JAMA","2021/06/01","496","Monitoring with an ICM compared with usual care detected significantly more AF over 12 months in patients with stroke attributed to large- or small-vessel disease.","Incident AF lasting more than 30 seconds through 12 months","AF detection at 12 months was significantly higher in the ICM group vs the control group (27 patients [12.1%] vs 4 patients [1.8%]; hazard ratio, 7.4 [95% CI, 2.6-21.3]; P < .001)","Not specified","Intervention group (n = 242) and control group (n = 250)","https://pubmed.ncbi.nlm.nih.gov/34061145/?format=pubmed",
"
              
                Safety and Efficacy of Vadadustat for Anemia in Patients Undergoing Dialysis.
              
            ","NA","Eckardt, Kai-Uwe et al.","NEJM","2021/04/29","3923","Vadadustat was noninferior to darbepoetin alfa with respect to cardiovascular safety and correction and maintenance of hemoglobin concentrations.","First occurrence of a major adverse cardiovascular event (MACE)","A first MACE occurred in 355 patients (18.2%) in the vadadustat group and in 377 patients (19.3%) in the darbepoetin alfa group (hazard ratio, 0.96; 95% confidence interval [CI], 0.83 to 1.11).","Open-label","Vadadustat and darbepoetin alfa","https://pubmed.ncbi.nlm.nih.gov/33913638/?format=pubmed",
"
              
                Effect of Treating Hyperphosphatemia With Lanthanum Carbonate vs Calcium Carbonate on Cardiovascular Events in Patients With Chronic Kidney Disease Undergoing Hemodialysis: The LANDMARK Randomized Clinical Trial.
              
            ","LANDMARK","Ogata, Hiroaki et al.","JAMA","2021/05/18","2374 patients","Treatment of hyperphosphatemia with lanthanum carbonate compared with calcium carbonate did not result in a significant difference in composite cardiovascular events. However,","Composite cardiovascular event (cardiovascular death, nonfatal myocardial infarction or stroke, unstable angina, transient ischemic attack, or hospitalization for heart failure or ventricular arrhythmia)","Cardiovascular events occurred in 147 of 1063 patients in the lanthanum calcium group and 134 of 1072 patients in the calcium carbonate group (incidence rate, 4.80 vs 4.30 per 100 person-years; difference 0.50 per 100 person-years [95% CI, -0.57 to 1.56]; hazard ratio [HR], 1.11 [95%, CI, 0.88 to 1.41], P = .37).","Blinded end point adjudication","Lanthanum carbonate (n = 1154) vs calcium carbonate (n = 1155)","https://pubmed.ncbi.nlm.nih.gov/34003226/?format=pubmed",
"
              
                Final Report of a Trial of Intensive versus Standard Blood-Pressure Control.
              
            ","SPRINT","Lewis, Cora E et al.","NEJM","2021/05/19","9361 participants","Targeting a systolic blood pressure of less than 120 mm Hg resulted in lower rates of major adverse cardiovascular events and lower all-cause mortality than targeting a systolic blood pressure of less than 140 mm Hg.","Composite of myocardial infarction, other acute coronary syndromes, stroke, acute decompensated heart failure, or death from cardiovascular causes","Rate of the primary outcome, 1.77% per year vs. 2.40% per year; hazard ratio, 0.73; 95% confidence interval [CI], 0.63 to 0.86; all-cause mortality, 1.06% per year vs. 1.41% per year; hazard ratio, 0.75; 95% CI, 0.61 to 0.92","Not stated","Intensive treatment target (systolic blood pressure, <120 mm Hg) vs. Standard treatment target (systolic blood pressure, <140 mm Hg)","https://pubmed.ncbi.nlm.nih.gov/34010531/?format=pubmed",
